nids_a_excluir ,razon,fecha
58061599530,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58657740323,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58515118234,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
59084540331,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
59168031071,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58015137806,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58203443495,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
59083147887,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58068632419,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
59288465057,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
59318603552,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58015165299,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58876831825,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58211724196,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
59156030020,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
59334231341,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
59120277023,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58513446703,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58066137199,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58727295786,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
59129635658,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58999708048,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58327653678,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
59165653850,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58884873774,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
59332200305,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58600918920,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58209729932,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
59023718298,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
59147716944,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
59331519861,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
59098628691,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
59319059976,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58887746562,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58953813874,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58328349614,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
59042563686,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
59042898030,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
59435969178,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
59081159090,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
58057105292,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
59134099621,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
59124384689,error de asignación de Quiñones reportado el jueves 23 de abril 2026,2026-04-23
